donor,month_year,books
belvederetiburonlibrary,2017-05,1
belvederetiburonlibrary,2017-09,1
belvederetiburonlibrary,2017-10,1
belvederetiburonlibrary,2017-11,92
belvederetiburonlibrary,2017-12,50
belvederetiburonlibrary,2018-01,22
belvederetiburonlibrary,2018-02,1
belvederetiburonlibrary,2018-03,4
belvederetiburonlibrary,2018-04,10
belvederetiburonlibrary,2018-05,8
belvederetiburonlibrary,2018-06,1
belvederetiburonlibrary,2018-07,399
belvederetiburonlibrary,2018-08,651
belvederetiburonlibrary,2018-09,382
belvederetiburonlibrary,2018-10,3
belvederetiburonlibrary,2019-01,1
blogistics,2013-07,4
blogistics,2013-08,3
blogistics,2013-09,72
blogistics,2016-06,2
blogistics,2017-01,3
blogistics,2017-02,4
blogistics,2017-03,5
blogistics,2017-04,25
blogistics,2017-05,108
blogistics,2017-06,7
blogistics,2017-07,129
blogistics,2017-08,319
blogistics,2017-09,172
blogistics,2017-10,220
blogistics,2017-11,235
blogistics,2017-12,65
blogistics,2018-01,100
blogistics,2018-02,15
blogistics,2018-03,14
blogistics,2018-04,49
blogistics,2018-05,12
blogistics,2018-06,5
blogistics,2018-07,686
blogistics,2018-08,1729
blogistics,2018-09,404
blogistics,2018-10,84
blogistics,2018-11,3
blogistics,2018-12,2
blogistics,2019-01,2
blogistics,unknown,3
bostonpubliclibrary,2011-10,1
bostonpubliclibrary,2011-12,1
bostonpubliclibrary,2012-02,1
bostonpubliclibrary,2012-08,1
bostonpubliclibrary,2013-06,2
bostonpubliclibrary,2013-08,16
bostonpubliclibrary,2013-09,90
bostonpubliclibrary,2014-06,1
bostonpubliclibrary,2015-09,1
bostonpubliclibrary,2015-10,1
bostonpubliclibrary,2015-11,1
bostonpubliclibrary,2016-02,1
bostonpubliclibrary,2016-06,586
bostonpubliclibrary,2016-07,870
bostonpubliclibrary,2016-08,2149
bostonpubliclibrary,2016-09,170
bostonpubliclibrary,2016-10,1495
bostonpubliclibrary,2016-11,1591
bostonpubliclibrary,2016-12,4111
bostonpubliclibrary,2017-01,3102
bostonpubliclibrary,2017-02,2870
bostonpubliclibrary,2017-03,2911
bostonpubliclibrary,2017-04,1202
bostonpubliclibrary,2017-05,2182
bostonpubliclibrary,2017-06,2606
bostonpubliclibrary,2017-07,3439
bostonpubliclibrary,2017-08,4893
bostonpubliclibrary,2017-09,3631
bostonpubliclibrary,2017-10,1911
bostonpubliclibrary,2017-11,5532
bostonpubliclibrary,2017-12,4298
bostonpubliclibrary,2018-01,5281
bostonpubliclibrary,2018-02,623
bostonpubliclibrary,2018-03,243
bostonpubliclibrary,2018-04,317
bostonpubliclibrary,2018-05,268
bostonpubliclibrary,2018-06,161
bostonpubliclibrary,2018-07,388
bostonpubliclibrary,2018-08,2995
bostonpubliclibrary,2018-09,155
bostonpubliclibrary,2018-10,362
bostonpubliclibrary,2018-11,57
bostonpubliclibrary,2018-12,12
bostonpubliclibrary,2019-01,35
bostonpubliclibrary,unknown,63
bostonpubliclibrary,2016-06,198
bostonpubliclibrary,2016-07,6
bostonpubliclibrary,2016-08,78
bostonpubliclibrary,2016-09,7
bostonpubliclibrary,2017-01,3
bostonpubliclibrary,2017-02,23
bostonpubliclibrary,2017-03,1117
bostonpubliclibrary,2017-04,199
bostonpubliclibrary,2017-05,3
bostonpubliclibrary,2017-07,1
bostonpubliclibrary,2017-08,7
bostonpubliclibrary,2017-09,8
bostonpubliclibrary,2017-10,50
bostonpubliclibrary,2017-11,7
bostonpubliclibrary,2017-12,5
bostonpubliclibrary,2018-01,12
bostonpubliclibrary,2018-03,1
bostonpubliclibrary,2018-04,4
bostonpubliclibrary,2018-06,22
bostonpubliclibrary,2018-07,3
bostonpubliclibrary,2018-08,2
bostonpubliclibrary,2018-10,1
bostonpubliclibrary,unknown,3
burlingamepubliclibrary,2013-07,1
burlingamepubliclibrary,2013-08,37
burlingamepubliclibrary,2013-09,16
burlingamepubliclibrary,2015-11,2
burlingamepubliclibrary,2016-10,96
burlingamepubliclibrary,2016-11,32
burlingamepubliclibrary,2016-12,8
burlingamepubliclibrary,2017-01,60
burlingamepubliclibrary,2017-02,27
burlingamepubliclibrary,2017-03,23
burlingamepubliclibrary,2017-04,327
burlingamepubliclibrary,2017-05,230
burlingamepubliclibrary,2017-06,147
burlingamepubliclibrary,2017-07,37
burlingamepubliclibrary,2017-08,224
burlingamepubliclibrary,2017-09,93
burlingamepubliclibrary,2017-10,376
burlingamepubliclibrary,2017-11,532
burlingamepubliclibrary,2017-12,738
burlingamepubliclibrary,2018-01,44
burlingamepubliclibrary,2018-02,9
burlingamepubliclibrary,2018-03,9
burlingamepubliclibrary,2018-04,48
burlingamepubliclibrary,2018-05,7
burlingamepubliclibrary,2018-06,5
burlingamepubliclibrary,2018-07,11
burlingamepubliclibrary,2018-08,481
burlingamepubliclibrary,2018-09,27
burlingamepubliclibrary,2018-10,30
burlingamepubliclibrary,2018-11,11
burlingamepubliclibrary,2018-12,2
burlingamepubliclibrary,2019-01,1
burlingamepubliclibrary,unknown,1
bwb,2016-06,1
bwb,2016-07,812
bwb,2016-08,102
bwb,2016-11,1
bwb,2016-12,1
bwb,2017-01,9
bwb,2017-02,338
bwb,2017-03,1246
bwb,2017-04,1139
bwb,2017-05,142
bwb,2017-06,553
bwb,2017-07,270
bwb,2017-08,150
bwb,2017-09,166
bwb,2017-10,171
bwb,2017-11,771
bwb,2017-12,162
bwb,2018-01,18
bwb,2018-02,3
bwb,2018-03,6
bwb,2018-04,56
bwb,2018-05,4
bwb,2018-06,56
bwb,2018-07,5
bwb,2018-09,1
bwb,2018-10,7
bwb,2018-11,1
bwb,2018-12,4
bwb,unknown,30
cityofsausalitolibrary,2012-07,1
cityofsausalitolibrary,2012-09,1
cityofsausalitolibrary,2016-05,1
cityofsausalitolibrary,2016-07,156
cityofsausalitolibrary,2016-08,15
cityofsausalitolibrary,2016-09,21
cityofsausalitolibrary,2016-11,112
cityofsausalitolibrary,2016-12,55
cityofsausalitolibrary,2017-01,88
cityofsausalitolibrary,2017-02,15
cityofsausalitolibrary,2017-03,61
cityofsausalitolibrary,2017-04,58
cityofsausalitolibrary,2017-05,38
cityofsausalitolibrary,2017-06,6
cityofsausalitolibrary,2017-07,53
cityofsausalitolibrary,2017-08,3
cityofsausalitolibrary,2017-09,4
cityofsausalitolibrary,2017-10,81
cityofsausalitolibrary,2017-11,118
cityofsausalitolibrary,2017-12,149
cityofsausalitolibrary,2018-01,40
cityofsausalitolibrary,2018-02,3
cityofsausalitolibrary,2018-03,1
cityofsausalitolibrary,2018-04,20
cityofsausalitolibrary,2018-05,2
cityofsausalitolibrary,2018-06,71
cityofsausalitolibrary,2018-07,98
cityofsausalitolibrary,2018-08,54
cityofsausalitolibrary,2018-10,1
cityofsausalitolibrary,2018-11,1
cityofsausalitolibrary,unknown,1
friendsofthesanfranciscopubliclibrary,2011-08,1
friendsofthesanfranciscopubliclibrary,2012-01,1
friendsofthesanfranciscopubliclibrary,2012-05,1
friendsofthesanfranciscopubliclibrary,2013-07,6
friendsofthesanfranciscopubliclibrary,2013-08,3
friendsofthesanfranciscopubliclibrary,2013-09,5
friendsofthesanfranciscopubliclibrary,2016-08,1
friendsofthesanfranciscopubliclibrary,2017-02,1
friendsofthesanfranciscopubliclibrary,2017-03,1
friendsofthesanfranciscopubliclibrary,2017-04,4
friendsofthesanfranciscopubliclibrary,2017-06,2
friendsofthesanfranciscopubliclibrary,2017-07,25
friendsofthesanfranciscopubliclibrary,2017-08,348
friendsofthesanfranciscopubliclibrary,2017-09,184
friendsofthesanfranciscopubliclibrary,2017-10,107
friendsofthesanfranciscopubliclibrary,2017-11,626
friendsofthesanfranciscopubliclibrary,2017-12,23
friendsofthesanfranciscopubliclibrary,2018-01,28
friendsofthesanfranciscopubliclibrary,2018-02,12
friendsofthesanfranciscopubliclibrary,2018-03,2
friendsofthesanfranciscopubliclibrary,2018-04,22
friendsofthesanfranciscopubliclibrary,2018-05,6
friendsofthesanfranciscopubliclibrary,2018-06,2
friendsofthesanfranciscopubliclibrary,2018-07,287
friendsofthesanfranciscopubliclibrary,2018-08,419
friendsofthesanfranciscopubliclibrary,2018-09,30
friendsofthesanfranciscopubliclibrary,2018-10,52
friendsofthesanfranciscopubliclibrary,2018-11,19
friendsofthesanfranciscopubliclibrary,2018-12,3
friendsofthesanfranciscopubliclibrary,unknown,1
internetarchivebookdrive,2013-07,1
internetarchivebookdrive,2013-08,8
internetarchivebookdrive,2013-09,2
internetarchivebookdrive,2015-06,1
internetarchivebookdrive,2015-10,1
internetarchivebookdrive,2016-06,120
internetarchivebookdrive,2016-07,120
internetarchivebookdrive,2016-08,941
internetarchivebookdrive,2016-09,48
internetarchivebookdrive,2016-10,395
internetarchivebookdrive,2016-11,1979
internetarchivebookdrive,2016-12,2514
internetarchivebookdrive,2017-01,1765
internetarchivebookdrive,2017-02,1049
internetarchivebookdrive,2017-03,2311
internetarchivebookdrive,2017-04,531
internetarchivebookdrive,2017-05,1708
internetarchivebookdrive,2017-06,1141
internetarchivebookdrive,2017-07,1101
internetarchivebookdrive,2017-08,1206
internetarchivebookdrive,2017-09,1491
internetarchivebookdrive,2017-10,1402
internetarchivebookdrive,2017-11,1202
internetarchivebookdrive,2017-12,1757
internetarchivebookdrive,2018-01,963
internetarchivebookdrive,2018-02,84
internetarchivebookdrive,2018-03,62
internetarchivebookdrive,2018-04,142
internetarchivebookdrive,2018-05,40
internetarchivebookdrive,2018-06,229
internetarchivebookdrive,2018-07,159
internetarchivebookdrive,2018-08,700
internetarchivebookdrive,2018-09,95
internetarchivebookdrive,2018-10,150
internetarchivebookdrive,2018-11,59
internetarchivebookdrive,2018-12,3
internetarchivebookdrive,2019-01,3
internetarchivebookdrive,unknown,28
marincountyfreelibrary,2016-12,7
marincountyfreelibrary,2017-01,8
marincountyfreelibrary,2017-10,1
marincountyfreelibrary,2017-11,1
marincountyfreelibrary,2017-12,2
marincountyfreelibrary,2018-01,5
marincountyfreelibrary,2018-03,2
marincountyfreelibrary,2018-05,2
marincountyfreelibrary,2018-07,5
marincountyfreelibrary,2018-08,74
marincountyfreelibrary,2018-09,19
recycledrecords,2009-12,1
sanrafaelpubliclibrary,2016-07,94
sanrafaelpubliclibrary,2016-11,168
sanrafaelpubliclibrary,2016-12,108
sanrafaelpubliclibrary,2017-01,41
sanrafaelpubliclibrary,2017-02,363
sanrafaelpubliclibrary,2017-03,173
sanrafaelpubliclibrary,2017-04,98
sanrafaelpubliclibrary,2017-05,309
sanrafaelpubliclibrary,2017-06,80
sanrafaelpubliclibrary,2017-07,52
sanrafaelpubliclibrary,2017-08,44
sanrafaelpubliclibrary,2017-09,177
sanrafaelpubliclibrary,2017-10,90
sanrafaelpubliclibrary,2017-11,307
sanrafaelpubliclibrary,2017-12,36
sanrafaelpubliclibrary,2018-01,33
sanrafaelpubliclibrary,2018-02,5
sanrafaelpubliclibrary,2018-03,18
sanrafaelpubliclibrary,2018-04,10
sanrafaelpubliclibrary,2018-05,4
sanrafaelpubliclibrary,2018-06,48
sanrafaelpubliclibrary,2018-07,73
sanrafaelpubliclibrary,2018-08,180
sanrafaelpubliclibrary,2018-09,4
sanrafaelpubliclibrary,2018-10,27
sanrafaelpubliclibrary,2018-11,13
sanrafaelpubliclibrary,unknown,7
